,group_1
1201,1282
1202,1283
1204,1285
1208,1287
1209,1288
1210,1289
1211,1289
1212,1291
1215,1293
1218,1294
1219,1295
1221,1300
1224,1304
1225,1304
1227,1304
1231,1307
1233,1308
1234,1308
1237,1310
1239,1311
1240,1311
1243,1316
1244,1317
1247,1324
1248,1324
1251,1325
1253,1326
1254,1326
1255,1328
1256,1330
1259,1332
1260,1333
1261,1335
1263,1337
1264,1340
1265,1342
1266,1345
1268,1348
1271,1350
1272,1350
1273,1350
1274,1351
1275,1352
1277,1353
1281,1356
1284,1362
1285,1365
1288,1368
1289,1370
1290,1371
1291,1375
1292,1375
1293,1376
1295,1378
1297,1379
1298,1380
1300,1382
1302,1384
1303,1384
1307,1385
1309,1387
1313,1391
1314,1391
1315,1393
1316,1393
1318,1397
1320,1399
1322,1401
1325,1403
1326,1404
1327,1404
1328,1406
1329,1407
1331,1408
1332,1410
1333,1412
1334,1413
1335,1414
1337,1416
1338,1417
1339,1419
1340,1420
1341,1421
1342,1421
1347,1424
1351,1425
1356,1427
1357,1428
1358,1430
1360,1433
1361,1434
1363,1434
1364,1435
1365,1438
1366,1439
1367,1439
1368,1440
1373,1447
1375,1450
1376,1451
1378,1452
1380,1452
1381,1452
1383,1453
1385,1454
1390,1455
1391,1457
1392,1458
1395,1461
1397,1463
1398,1465
1399,1467
1401,1478
1402,1478
1404,1481
1405,1484
1408,1489
1409,1490
1411,1491
1413,1493
1414,1498
1415,1499
1416,1500
1417,1500
1420,1500
1423,1501
1424,1503
1425,1503
1428,1507
1429,1507
1430,1507
1431,1509
1432,1510
1435,1511
1436,1511
1437,1515
1444,1526
1450,1531
1451,1532
1452,1533
1455,1540
1457,1540
1459,1542
1461,1544
1463,1547
1466,1550
1467,1550
1469,1552
1470,1555
1471,1558
1472,1560
1473,1561
1474,1562
1475,1564
1476,1565
1478,1568
1481,1572
1482,1572
1483,1573
1484,1576
1486,1578
1488,1580
1489,1580
1492,1584
1493,1584
1498,1590
1501,1593
1508,1601
1509,1602
1510,1603
1513,1604
1515,1608
1519,1613
1520,1614
1521,1615
1524,1617
1527,1621
1533,1625
1534,1626
1537,1630
1538,1630
1539,1631
1543,1634
1544,1635
1545,1636
1547,1638
1549,1644
1550,1645
1552,1647
1553,1649
1555,1651
1558,1653
1559,1655
1561,1656
1562,1657
1564,1659
1565,1660
1566,1661
1567,1661
1569,1661
1570,1662
1573,1668
1574,1669
1576,1669
1577,1670
1578,1670
1579,1671
1580,1672
1581,1673
1582,1674
1583,1676
1584,1677
1585,1681
1587,1685
1588,1685
1590,1687
1591,1688
1592,1688
1594,1690
1595,1691
1597,1695
1598,1696
1599,1697
1603,1700
1604,1704
1606,1705
1607,1708
1608,1709
1610,1709
1611,1709
1613,1709
1614,1709
1616,1711
1617,1712
1618,1712
1619,1713
1620,1714
1621,1715
1623,1717
1625,1719
1626,1721
1627,1723
1629,1725
1631,1727
1632,1728
1637,1733
1639,1736
1640,1738
1643,1740
1644,1742
1645,1745
1648,1748
1649,1748
1651,1749
1654,1755
1655,1757
1656,1758
1657,1760
1658,1761
1660,1762
1663,1764
1664,1766
1669,1768
1673,1772
1676,1776
1677,1778
1680,1782
1681,1782
1682,1783
1683,1783
1684,1785
1685,1786
1686,1792
1689,1798
1690,1799
1692,1800
1693,1800
1696,1802
1697,1803
1700,1806
1701,1807
1702,1808
1703,1810
1705,1811
1707,1813
1710,1817
1712,1821
1715,1826
1716,1827
1723,1829
1724,1831
1725,1833
1728,1841
1729,1843
1730,1844
1733,1846
1734,1847
1735,1848
1736,1849
1737,1850
1738,1850
1742,1855
1744,1857
1746,1860
1747,1860
1749,1861
1751,1864
1752,1865
1753,1865
1755,1865
1756,1865
1757,1865
1758,1866
1761,1872
1763,1874
1764,1874
1765,1877
1766,1878
1767,1879
1768,1880
1772,1884
1773,1886
1774,1887
1776,1889
1777,1889
1778,1890
1779,1891
1782,1892
1785,1898
1786,1899
1789,1902
1790,1903
1791,1905
1792,1906
1793,1907
1794,1908
1795,1911
1796,1915
1798,1916
1799,1918
1802,1920
1803,1922
1806,1925
1807,1926
1808,1927
1812,1935
1813,1937
1815,1939
1816,1939
1817,1940
1818,1941
1819,1942
1820,1945
1821,1946
1822,1947
1823,1950
1824,1952
1825,1953
1826,1956
1828,1957
1830,1959
1835,1962
1836,1962
1838,1963
1839,1964
1843,1971
1845,1974
1846,1975
1850,1976
1856,1979
1858,1980
1860,1981
1861,1983
1864,1988
1865,1991
1868,1993
1870,1995
1871,1996
1873,1999
1875,2001
1876,2003
1877,2006
1878,2006
1879,2006
1881,2009
1885,2011
1886,2012
1887,2013
1890,2019
1891,2022
1896,2026
1898,2028
1899,2029
1901,2034
1902,2038
1906,2042
1910,2046
1913,2053
1914,2054
1915,2055
1920,2055
1921,2056
1922,2056
1923,2056
1926,2060
1928,2062
1929,2063
1930,2065
1933,2067
1935,2071
1937,2073
1938,2074
1940,2075
1941,2080
1943,2082
1944,2083
1945,2084
1947,2085
1951,2088
1953,2089
1955,2091
1957,2092
1958,2092
1959,2092
1960,2092
1962,2095
1963,2096
1964,2096
1968,2102
1969,2104
1970,2104
1971,2105
1972,2106
1973,2107
1974,2110
1975,2111
1976,2112
1979,2116
1980,2117
1981,2118
1983,2121
1984,2123
1986,2124
1987,2125
1988,2126
1990,2128
1991,2129
1992,2130
1993,2131
1994,2133
1996,2134
1997,2135
1998,2135
1999,2136
2008,2143
2009,2143
2010,2144
2011,2145
2013,2148
2015,2150
2016,2152
2017,2153
2018,2154
2019,2156
2025,2163
2027,2167
2029,2168
2030,2171
2031,2171
2036,2179
2037,2180
2038,2182
2039,2183
2040,2183
2041,2186
2042,2187
2043,2188
2044,2189
2045,2190
2047,2193
2048,2194
2050,2196
2053,2196
2055,2200
2057,2202
2058,2203
2060,2205
2061,2206
2062,2207
2063,2209
2064,2210
2066,2212
2070,2215
2074,2223
2076,2225
2077,2228
2078,2229
2079,2231
2080,2232
2081,2232
2082,2233
2085,2234
2086,2234
2087,2234
2089,2234
2090,2235
2095,2241
2097,2251
2098,2251
2099,2252
2100,2253
2101,2254
2109,2262
2110,2263
2112,2266
2114,2268
2120,2273
2123,2275
2124,2277
2126,2279
2127,2280
2129,2282
2130,2284
2131,2287
2132,2288
2134,2291
2135,2291
2136,2291
2137,2295
2138,2295
2140,2298
2141,2299
2142,2300
2143,2300
2145,2301
2146,2301
2147,2302
2149,2305
2152,2306
2155,2306
2157,2308
2158,2308
2160,2309
2163,2310
2165,2311
2166,2312
2167,2313
2168,2314
2171,2317
2172,2318
2173,2319
2174,2320
2176,2325
2179,2332
2180,2333
2182,2336
2184,2338
2185,2339
2186,2340
2188,2345
2189,2347
2191,2347
2194,2347
2195,2347
2196,2348
2197,2349
2199,2353
2200,2356
2203,2357
2205,2361
2210,2366
2211,2367
2212,2368
2213,2369
2214,2373
2217,2376
2219,2379
2220,2382
2221,2384
2222,2384
2225,2384
2226,2384
2228,2385
2230,2389
2231,2390
2232,2391
2234,2395
2235,2396
2236,2396
2237,2397
2238,2398
2239,2399
2241,2402
2242,2403
2243,2404
2248,2409
2254,2414
2255,2416
2256,2417
2259,2423
2264,2429
2265,2431
2266,2432
2268,2435
2269,2436
2272,2441
2274,2443
2275,2444
2276,2445
2279,2449
2281,2451
2282,2452
2284,2454
2285,2455
2286,2456
2290,2461
2291,2462
2292,2463
2293,2466
2294,2467
2295,2470
2296,2470
2297,2471
2298,2472
2300,2475
2301,2476
2304,2478
2305,2479
2306,2480
2307,2483
2308,2486
2309,2486
2310,2488
2312,2491
2314,2496
2315,2497
2316,2498
2318,2500
2319,2502
2320,2503
2322,2505
2323,2505
2324,2506
2326,2506
2329,2509
2331,2512
2333,2513
2334,2515
2336,2516
2340,2520
2341,2521
2348,2530
2350,2532
2352,2534
2354,2535
2356,2540
2357,2541
2358,2542
2360,2544
2361,2545
2362,2546
2363,2547
2365,2548
2366,2549
2368,2549
2370,2551
2382,2559
2384,2560
2385,2560
2386,2561
2388,2562
2391,2565
2396,2574
2397,2578
2398,2580
2399,2581
2400,2581
2401,2582
2402,2584
2406,2589
2407,2589
2409,2590
2410,2590
2412,2591
2413,2591
2414,2592
2415,2592
2416,2593
2420,2595
2422,2596
2425,2597
2426,2598
2427,2599
2429,2602
2431,2602
2433,2606
2434,2606
2440,2616
2441,2617
2443,2619
2444,2622
2445,2624
2447,2625
2448,2626
2449,2627
2451,2628
2452,2629
2454,2633
2457,2636
2458,2638
2459,2640
2460,2641
2461,2642
2462,2643
2464,2645
2468,2646
2469,2647
2470,2648
2471,2649
2472,2650
2475,2655
2476,2657
2477,2658
2479,2660
2480,2661
2482,2662
2485,2666
2486,2666
2487,2668
2488,2668
2489,2670
2490,2671
2491,2672
2494,2677
2496,2679
2497,2682
2499,2684
2500,2685
2502,2688
2504,2691
2505,2692
2506,2693
2507,2693
2508,2693
2509,2693
2510,2695
2511,2697
2512,2698
2513,2700
2516,2703
2517,2704
2524,2709
2528,2714
2529,2717
2531,2720
2532,2720
2534,2721
2539,2724
2540,2725
2541,2726
2542,2727
2545,2730
2548,2732
2550,2736
2552,2737
2553,2738
2556,2741
2557,2743
2558,2745
2559,2746
2564,2752
2565,2752
2567,2753
2568,2754
2570,2756
2572,2759
2573,2760
2574,2760
2576,2762
2577,2762
2580,2765
2582,2768
2583,2768
2584,2769
2585,2770
2586,2772
2587,2773
2588,2774
2589,2774
2590,2774
2593,2780
2594,2781
2596,2783
2600,2787
2601,2788
2602,2789
2604,2790
2605,2790
2606,2790
2611,2795
2612,2796
2613,2797
2614,2798
2616,2799
2618,2801
2620,2805
2621,2806
2622,2807
2623,2807
2626,2810
2627,2811
2631,2817
2635,2819
2639,2822
2642,2822
2646,2826
2647,2826
2649,2831
2650,2832
2652,2835
2653,2837
2654,2838
2656,2840
2657,2843
2660,2852
2662,2854
2663,2856
2664,2857
2672,2863
2673,2865
2676,2867
2677,2867
2683,2873
2685,2876
2686,2877
2688,2880
2689,2881
2690,2882
2692,2884
2693,2887
2694,2888
2695,2890
2697,2891
2699,2892
2701,2892
2702,2892
2703,2893
2704,2894
2706,2899
2708,2901
2710,2902
2711,2905
2712,2906
2714,2908
2715,2908
2716,2909
2717,2910
2718,2912
2719,2913
2726,2926
2728,2928
2732,2930
2733,2934
2734,2935
2735,2936
2738,2941
2739,2942
2740,2943
2741,2944
2742,2944
2743,2944
2747,2949
2748,2950
2751,2956
2752,2958
2753,2959
2754,2960
2755,2961
2756,2962
2757,2964
2758,2965
2761,2969
2762,2970
2765,2975
2766,2979
2769,2984
2770,2986
2771,2988
2773,2992
2774,2993
2775,2994
2778,2996
2780,3000
2781,3001
2785,3004
2787,3006
2789,3010
2790,3012
2791,3013
2792,3014
2794,3018
2795,3019
2796,3020
2797,3021
2798,3021
2799,3022
2800,3022
2804,3025
2805,3026
2806,3027
2807,3029
2811,3032
2812,3032
2813,3032
2814,3032
2815,3033
2816,3034
2817,3036
2818,3038
2819,3039
2820,3040
2821,3042
2822,3044
2823,3045
2825,3047
2826,3048
2828,3053
2829,3054
2830,3055
2831,3060
2832,3060
2833,3060
2834,3061
2835,3061
2836,3062
2839,3063
2842,3066
2844,3068
2847,3071
2850,3079
2851,3080
2855,3083
2857,3085
2859,3088
2861,3091
2863,3092
2865,3095
2868,3100
2872,3103
2876,3111
2877,3112
2880,3114
2881,3116
2882,3117
2883,3118
2884,3119
2886,3120
2894,3128
2895,3130
2900,3133
2903,3138
2904,3140
2905,3142
2906,3142
2912,3152
2913,3158
2915,3161
2917,3162
2918,3162
2919,3163
2920,3163
2921,3164
2926,3172
2931,3179
2932,3180
2933,3181
2937,3185
2938,3188
2940,3189
2942,3192
2944,3195
2945,3195
2947,3195
2948,3195
2949,3195
2950,3196
2951,3197
2952,3200
2953,3201
2954,3203
2955,3204
2956,3204
2957,3204
2959,3206
2961,3210
2962,3210
2963,3210
2964,3211
2965,3211
2966,3211
2967,3212
2968,3213
2973,3217
2975,3218
2976,3218
2977,3219
2978,3220
2979,3221
2980,3223
2984,3227
2988,3235
2990,3236
2991,3236
2992,3237
2994,3237
2995,3238
2997,3240
2998,3241
2999,3243
3000,3247
3001,3248
3002,3252
3003,3253
3007,3258
3008,3259
3009,3260
3010,3262
3011,3268
3014,3271
3018,3273
3020,3274
3021,3274
3023,3276
3029,3280
3033,3283
3034,3283
3035,3283
3036,3283
3041,3287
3044,3292
3050,3294
3051,3295
3053,3297
3055,3299
3057,3300
3063,3305
3064,3305
3065,3308
3066,3309
3068,3311
3069,3312
3071,3314
3072,3315
3073,3317
3079,3319
3086,3326
3087,3327
3088,3328
3090,3330
3092,3332
3097,3337
3098,3337
3100,3339
3102,3343
3103,3348
3106,3352
3107,3353
3109,3353
3113,3357
3114,3359
3119,3361
3120,3363
3122,3363
3123,3364
3125,3370
3126,3371
3129,3380
3130,3381
3131,3382
3133,3383
3134,3384
3135,3384
3138,3387
3142,3391
3148,3395
3150,3397
3152,3402
3155,3405
3157,3405
3158,3406
3159,3406
3161,3409
3163,3412
3166,3413
3167,3415
3170,3419
3171,3420
3172,3421
3176,3424
3177,3425
3178,3426
3183,3432
3184,3433
3186,3437
3189,3438
3193,3439
3194,3440
3195,3441
3196,3442
3202,3445
3204,3447
3205,3449
3208,3453
3209,3454
3214,3461
3216,3464
3217,3464
3218,3465
3219,3467
3222,3470
3224,3473
3226,3474
3230,3475
3235,3476
3236,3478
3237,3480
3238,3483
3239,3484
3241,3485
3245,3487
3246,3488
3247,3488
3248,3489
3252,3491
3253,3492
3259,3496
3260,3497
3261,3499
3264,3499
3265,3501
3268,3511
3269,3512
3270,3514
3271,3515
3277,3520
3283,3527
3286,3531
3288,3533
3289,3534
3290,3535
3293,3537
3294,3539
3300,3546
3301,3547
3303,3550
3304,3550
3305,3550
3306,3552
3308,3553
3311,3558
3313,3559
3317,3562
3318,3562
3320,3564
3323,3567
3324,3568
3327,3572
3328,3573
3330,3577
3332,3579
3335,3586
3336,3588
3337,3588
3338,3591
3340,3592
3344,3597
3345,3598
3349,3606
3354,3609
3355,3609
3362,3614
3363,3615
3366,3619
3369,3622
3370,3624
3373,3628
3375,3630
3376,3631
3378,3636
3380,3640
3381,3640
3383,3641
3385,3642
3393,3648
3395,3652
3396,3653
3397,3654
3398,3654
3399,3655
3402,3660
3409,3671
3411,3677
3413,3679
3414,3680
3417,3681
3419,3686
3424,3691
3425,3692
3430,3699
3431,3700
3432,3702
3434,3703
3435,3704
3436,3705
3437,3706
3439,3707
3442,3710
3443,3710
3444,3710
3446,3711
3451,3714
3452,3714
3453,3715
3454,3715
3456,3715
3458,3719
3465,3732
3467,3732
3468,3733
3471,3735
3473,3737
3475,3739
3477,3742
3479,3743
3481,3745
3482,3747
3484,3747
3489,3750
3490,3750
3492,3752
3493,3753
3495,3755
3496,3755
3499,3758
3505,3767
3507,3769
3509,3771
3515,3774
3516,3774
3517,3774
3524,3781
3525,3783
3526,3784
3527,3785
3528,3786
3529,3786
3533,3788
3539,3797
3541,3801
3542,3803
3543,3804
3544,3805
3546,3810
3548,3811
3549,3812
3551,3815
3552,3816
3553,3817
3554,3818
3556,3821
3557,3822
3560,3826
3561,3830
3562,3831
3563,3832
3564,3835
3567,3839
3568,3841
3569,3842
3571,3847
3572,3848
3573,3849
3574,3850
3581,3851
3589,3862
3590,3862
3592,3862
3593,3862
3595,3866
3597,3868
3599,3868
3603,3868
3607,3873
3608,3874
3610,3875
3611,3879
3613,3883
3619,3895
3620,3895
3623,3897
3626,3903
3627,3903
3629,3903
3630,3903
3632,3904
3635,3911
3639,3913
3640,3913
3642,3916
3644,3917
3645,3919
3648,3923
3652,3926
3653,3927
3655,3928
3657,3930
3658,3931
3662,3935
3663,3936
3668,3939
3669,3940
3670,3941
3671,3942
3672,3944
3673,3945
3674,3946
3675,3948
3676,3949
3678,3952
3679,3954
3681,3958
3682,3959
3683,3959
3685,3960
3688,3962
3691,3966
3694,3967
3695,3968
3697,3971
3704,3981
3706,3985
3707,3986
3708,3986
3710,3988
3711,3991
3712,3992
3714,3995
3715,3995
3716,3995
3717,3995
3718,3995
3721,3997
3723,3999
3725,4000
3730,4001
3733,4001
3734,4002
3738,4005
3739,4005
3743,4005
3747,4006
3751,4010
3752,4013
3753,4014
3754,4014
3755,4016
3756,4017
3759,4017
3760,4017
3761,4018
3763,4020
3764,4021
3765,4022
3766,4023
3770,4030
3771,4030
3772,4030
3773,4030
3778,4034
3780,4036
3782,4038
3783,4039
3784,4040
3788,4043
3789,4044
3792,4045
3795,4049
3796,4050
3798,4055
3799,4058
3800,4060
3801,4061
3806,4065
3807,4066
3809,4068
3814,4075
3815,4076
3816,4078
3817,4079
3818,4080
3819,4081
3820,4082
3826,4093
3827,4095
3829,4097
3830,4098
3832,4101
3834,4103
3835,4104
3837,4107
3841,4110
3846,4115
3848,4120
3851,4128
3854,4129
3857,4132
3859,4135
3860,4137
3861,4140
3862,4141
3864,4143
3865,4144
3866,4145
3872,4152
3874,4156
3875,4158
3876,4159
3882,4167
3883,4168
3884,4168
3888,4171
3890,4172
3892,4172
3893,4172
3896,4173
3897,4174
3898,4175
3902,4176
3903,4176
3908,4177
3909,4178
3916,4181
3918,4182
3919,4182
3920,4182
3921,4183
3922,4184
3926,4189
3927,4191
3932,4197
3934,4203
3936,4204
3938,4205
3939,4206
3942,4208
3947,4213
3948,4214
3949,4215
3955,4219
3956,4219
3957,4220
3959,4222
3960,4222
3963,4225
3964,4229
3965,4230
3968,4233
3971,4239
3974,4243
3977,4246
3981,4251
3983,4253
3984,4254
3986,4254
3988,4256
3989,4256
3992,4256
3993,4256
3994,4256
3995,4256
3996,4257
3997,4258
3998,4258
3999,4258
4004,4262
4005,4264
4009,4270
4012,4273
4015,4280
4017,4291
4023,4296
4024,4297
4029,4303
4030,4305
4034,4309
4036,4311
4037,4312
4040,4316
4043,4319
4044,4320
4047,4324
4050,4329
4053,4333
4055,4335
4064,4339
4068,4345
4070,4347
4072,4349
4074,4350
4075,4351
4078,4354
4080,4357
4082,4359
4084,4359
4089,4365
4093,4369
4094,4370
4096,4371
4101,4372
4102,4373
4108,4387
4112,4390
4114,4392
4115,4393
4116,4393
4117,4395
4118,4396
4120,4399
4121,4400
4126,4402
4127,4403
4128,4403
4129,4404
4134,4410
4136,4413
4137,4415
4141,4424
4143,4427
4144,4427
4146,4429
4148,4431
4149,4432
4150,4433
4153,4438
4158,4444
4159,4445
4160,4446
4161,4446
4171,4450
4174,4453
4179,4462
4182,4464
4183,4465
4184,4465
4185,4465
4186,4466
4189,4469
4190,4470
4191,4472
4192,4472
4193,4473
4194,4473
4198,4475
4200,4476
4201,4477
4202,4479
4203,4482
4206,4482
4208,4483
4209,4483
4211,4485
4213,4487
4214,4490
4215,4491
4220,4497
4221,4498
4222,4498
4224,4498
4227,4498
4228,4498
4229,4500
4231,4502
4233,4505
4234,4506
4235,4508
4236,4508
4237,4508
4244,4512
4246,4515
4248,4516
4249,4517
4250,4518
4251,4521
4254,4529
4255,4530
4260,4535
4261,4535
4262,4537
4263,4538
4268,4543
4272,4549
4275,4553
4276,4555
4277,4557
4278,4558
4281,4561
4284,4564
4285,4565
4286,4567
4287,4568
4289,4569
4292,4572
4294,4574
4295,4575
4296,4576
4301,4585
4302,4586
4303,4587
4310,4594
4311,4594
4313,4594
4317,4602
4319,4603
4320,4604
4321,4605
4322,4606
4323,4606
4324,4607
4326,4609
4327,4610
4332,4617
4333,4620
4337,4624
4343,4625
4350,4632
4351,4632
4352,4632
4353,4633
4354,4634
4356,4637
4359,4641
4360,4642
4367,4649
4368,4650
4371,4653
4375,4656
4376,4656
4377,4657
4378,4658
4379,4658
4380,4659
4382,4661
4384,4661
4385,4661
4386,4661
4387,4661
4388,4662
4397,4664
4398,4665
4402,4672
4403,4673
4405,4677
4406,4678
4408,4680
4411,4680
4416,4690
4417,4691
4418,4693
4422,4695
4425,4699
4426,4704
4427,4706
4429,4708
4430,4709
4432,4710
4433,4711
4435,4713
4436,4714
4437,4717
4442,4723
4443,4725
4449,4728
4451,4730
4456,4738
4457,4738
4465,4746
4466,4748
4467,4750
4468,4750
4469,4752
4470,4753
4471,4754
4475,4757
4476,4758
4477,4759
4484,4772
4488,4774
4492,4778
4493,4780
4496,4782
4497,4782
4499,4782
4504,4787
4505,4788
4506,4790
4509,4793
4511,4794
4519,4801
4520,4803
4524,4807
4525,4808
4526,4810
4530,4817
4537,4823
4540,4829
4541,4830
4543,4832
4547,4838
4550,4841
4551,4841
4552,4842
4554,4846
4561,4853
4563,4857
4564,4862
4565,4863
4566,4864
4569,4870
4570,4871
4575,4876
4576,4878
4577,4879
4578,4880
4580,4882
4582,4884
4584,4886
4587,4889
4592,4892
4595,4896
4596,4897
4600,4900
4601,4901
4602,4901
4603,4902
4604,4903
4605,4904
4606,4909
4607,4910
4608,4911
4609,4912
4612,4915
4620,4924
4632,4933
4633,4933
4635,4934
4636,4937
4640,4941
4645,4944
4646,4944
4648,4946
4649,4950
4654,4958
4657,4964
4658,4965
4659,4970
4661,4973
4663,4974
4669,4977
4670,4978
4671,4979
4672,4980
4673,4980
4674,4980
4677,4981
4680,4989
4681,4990
4682,4991
4683,4992
4688,4999
4690,5003
4692,5005
4695,5006
4696,5007
4699,5010
4702,5014
4704,5015
4705,5016
4708,5019
4711,5023
4712,5025
4713,5027
4714,5028
4716,5034
4718,5036
4719,5036
4720,5039
4723,5039
4724,5040
4725,5040
4727,5044
4730,5050
4731,5051
4736,5058
4738,5059
4741,5060
4742,5060
4745,5062
4747,5064
4749,5065
4752,5069
4754,5072
4755,5072
4757,5074
4758,5076
4759,5080
4760,5083
4761,5084
4762,5084
4764,5087
4766,5089
4768,5090
4769,5090
4771,5090
4772,5090
4774,5091
4775,5093
4786,5111
4787,5111
4788,5111
4796,5120
4798,5124
4799,5125
4802,5127
4803,5128
4807,5132
4809,5133
4811,5133
4812,5133
4814,5133
4815,5133
4816,5136
4821,5142
4827,5148
4830,5152
4831,5154
4835,5158
4836,5160
4839,5162
4844,5167
4845,5170
4846,5171
4849,5174
4850,5175
4851,5176
4859,5185
4860,5186
4861,5187
4862,5188
4864,5188
4865,5190
4871,5196
4873,5198
4874,5199
4875,5201
4877,5204
4878,5205
4882,5206
4883,5206
4885,5207
4887,5208
4890,5211
4892,5214
4893,5216
4896,5218
4897,5220
4898,5221
4902,5224
4906,5229
4909,5235
4911,5238
4917,5244
4922,5249
4932,5256
4933,5257
4939,5265
4940,5266
4941,5266
